"Country/Region/World","ISO","Sex","Year","Crude diabetes prevalence","Lower 95% uncertainty interval","Upper 95% uncertainty interval"
"World",NA,"Women",1995,0.0566363776723948,0.0456907210085673,0.068926983342621
"World",NA,"Women",1996,0.0576366859738951,0.0470982137172207,0.0694278259418631
"World",NA,"Women",1997,0.0586854672601902,0.0485624930025216,0.0699465174497183
"World",NA,"Women",1998,0.0597744651185276,0.0500361734446833,0.070571058488677
"World",NA,"Women",1999,0.0608999429145923,0.0515226148849717,0.0713281804860657
"World",NA,"Women",2000,0.0620553085454321,0.0529813323020577,0.072196470307965
"World",NA,"Women",2001,0.0632303773633858,0.0545384939685257,0.0729577043937813
"World",NA,"Women",2002,0.0644136373712547,0.0559779888721347,0.0739140829113418
"World",NA,"Women",2003,0.065619642061288,0.0573657628694506,0.0748278097903801
"World",NA,"Women",2004,0.0668711823966355,0.0587628608792385,0.0760609672113216
"World",NA,"Women",2005,0.0681632005006773,0.0601029774404086,0.0772918941536611
"World",NA,"Women",2006,0.0694873822795713,0.0613180929345543,0.0787497447046949
"World",NA,"Women",2007,0.0708433904519865,0.0622604077728809,0.0804413281136454
"World",NA,"Women",2008,0.0722249223412243,0.0632501185758878,0.0823876064148824
"World",NA,"Women",2009,0.073625060794775,0.0640294708089155,0.0845097433895705
"World",NA,"Women",2010,0.0750930410788955,0.064794995673538,0.0869249301091996
"World",NA,"Women",2011,0.0766206226845016,0.0653105926267477,0.0897137251586257
"World",NA,"Women",2012,0.0782286374940891,0.0657323055419153,0.092619209291523
"World",NA,"Women",2013,0.0799082382944554,0.0661160975469232,0.0960593445461183
"World",NA,"Women",2014,0.0816680583915634,0.0664042732019311,0.0993147439873103
